タイムスタンプ,1. 進み具合はどうですか？,2. 難易度はどうですか？,3. 授業教材で欲しいのは？,3. h. その他,4. 授業の形式はやっぱりどれが一番いい？,質問や何かリクエストがあれば自由にお書き下さい。
5/24/2023 10:03:39,3,3,"b. 授業でスライドを解説した動画, e. ソースプログラムに沿って解説を加えた補助教材",,a. 対面のみ,
5/24/2023 11:03:22,3,2,c. 授業で実演したプログラミングの動画,,b. 対面とリアルタイムオンライン[Zoom]のハイブリッド,
5/24/2023 12:21:02,2,3,"a. 授業で使用したスライドのPDF, d. 授業で作成したプログラムのソースファイル, e. ソースプログラムに沿って解説を加えた補助教材, g. オプションで基礎的な文法を習得するための課題",,d. オンデマンド[GoogleDriveで動画配布],
5/24/2023 12:26:57,4,1,"a. 授業で使用したスライドのPDF, b. 授業でスライドを解説した動画, c. 授業で実演したプログラミングの動画, d. 授業で作成したプログラムのソースファイル, e. ソースプログラムに沿って解説を加えた補助教材",,d. オンデマンド[GoogleDriveで動画配布],
5/24/2023 12:50:19,3,3,"a. 授業で使用したスライドのPDF, d. 授業で作成したプログラムのソースファイル, e. ソースプログラムに沿って解説を加えた補助教材, f. オプションで難易度の高い課題, g. オプションで基礎的な文法を習得するための課題",,a. 対面のみ,
5/24/2023 12:55:09,3,3,"b. 授業でスライドを解説した動画, c. 授業で実演したプログラミングの動画, d. 授業で作成したプログラムのソースファイル, e. ソースプログラムに沿って解説を加えた補助教材",,d. オンデマンド[GoogleDriveで動画配布],
5/24/2023 13:06:57,3,3,"d. 授業で作成したプログラムのソースファイル, e. ソースプログラムに沿って解説を加えた補助教材",,b. 対面とリアルタイムオンライン[Zoom]のハイブリッド,
5/24/2023 13:10:53,3,3,"c. 授業で実演したプログラミングの動画, f. オプションで難易度の高い課題, g. オプションで基礎的な文法を習得するための課題",,d. オンデマンド[GoogleDriveで動画配布],
5/24/2023 13:21:23,3,4,"a. 授業で使用したスライドのPDF, d. 授業で作成したプログラムのソースファイル, g. オプションで基礎的な文法を習得するための課題",,d. オンデマンド[GoogleDriveで動画配布],
5/24/2023 13:23:16,3,3,"b. 授業でスライドを解説した動画, e. ソースプログラムに沿って解説を加えた補助教材, g. オプションで基礎的な文法を習得するための課題",VSCodeバージョンの動画,a. 対面のみ,
5/24/2023 13:30:50,3,3,"a. 授業で使用したスライドのPDF, b. 授業でスライドを解説した動画, c. 授業で実演したプログラミングの動画, d. 授業で作成したプログラムのソースファイル, e. ソースプログラムに沿って解説を加えた補助教材",,a. 対面のみ,
5/24/2023 14:12:47,4,2,"b. 授業でスライドを解説した動画, d. 授業で作成したプログラムのソースファイル, e. ソースプログラムに沿って解説を加えた補助教材",,a. 対面のみ,
5/24/2023 14:18:26,3,2,"a. 授業で使用したスライドのPDF, c. 授業で実演したプログラミングの動画, d. 授業で作成したプログラムのソースファイル, e. ソースプログラムに沿って解説を加えた補助教材",,b. 対面とリアルタイムオンライン[Zoom]のハイブリッド,
5/24/2023 14:23:30,4,2,"a. 授業で使用したスライドのPDF, b. 授業でスライドを解説した動画, c. 授業で実演したプログラミングの動画, d. 授業で作成したプログラムのソースファイル, g. オプションで基礎的な文法を習得するための課題",,d. オンデマンド[GoogleDriveで動画配布],
5/24/2023 14:24:27,3,3,"c. 授業で実演したプログラミングの動画, d. 授業で作成したプログラムのソースファイル, e. ソースプログラムに沿って解説を加えた補助教材",,b. 対面とリアルタイムオンライン[Zoom]のハイブリッド,
5/24/2023 14:26:27,3,1,"a. 授業で使用したスライドのPDF, c. 授業で実演したプログラミングの動画, e. ソースプログラムに沿って解説を加えた補助教材",,a. 対面のみ,
5/24/2023 14:26:28,3,2,"a. 授業で使用したスライドのPDF, c. 授業で実演したプログラミングの動画, d. 授業で作成したプログラムのソースファイル, e. ソースプログラムに沿って解説を加えた補助教材",,d. オンデマンド[GoogleDriveで動画配布],
5/24/2023 14:26:44,4,1,"c. 授業で実演したプログラミングの動画, e. ソースプログラムに沿って解説を加えた補助教材, g. オプションで基礎的な文法を習得するための課題",,a. 対面のみ,
5/24/2023 14:26:54,3,2,"a. 授業で使用したスライドのPDF, b. 授業でスライドを解説した動画, c. 授業で実演したプログラミングの動画, d. 授業で作成したプログラムのソースファイル, e. ソースプログラムに沿って解説を加えた補助教材, g. オプションで基礎的な文法を習得するための課題",,b. 対面とリアルタイムオンライン[Zoom]のハイブリッド,
5/24/2023 14:26:55,3,3,"a. 授業で使用したスライドのPDF, b. 授業でスライドを解説した動画, c. 授業で実演したプログラミングの動画",,a. 対面のみ,
5/24/2023 14:26:57,3,2,"c. 授業で実演したプログラミングの動画, d. 授業で作成したプログラムのソースファイル",,d. オンデマンド[GoogleDriveで動画配布],
5/24/2023 14:26:57,3,3,c. 授業で実演したプログラミングの動画,,d. オンデマンド[GoogleDriveで動画配布],
5/24/2023 14:27:02,3,3,"d. 授業で作成したプログラムのソースファイル, e. ソースプログラムに沿って解説を加えた補助教材, g. オプションで基礎的な文法を習得するための課題",,d. オンデマンド[GoogleDriveで動画配布],
5/24/2023 14:27:06,3,2,"a. 授業で使用したスライドのPDF, c. 授業で実演したプログラミングの動画, d. 授業で作成したプログラムのソースファイル, e. ソースプログラムに沿って解説を加えた補助教材",,a. 対面のみ,
5/24/2023 14:27:16,4,2,b. 授業でスライドを解説した動画,,a. 対面のみ,
5/24/2023 14:27:21,3,5,"d. 授業で作成したプログラムのソースファイル, e. ソースプログラムに沿って解説を加えた補助教材",,d. オンデマンド[GoogleDriveで動画配布],
5/24/2023 14:27:38,3,2,"a. 授業で使用したスライドのPDF, c. 授業で実演したプログラミングの動画, d. 授業で作成したプログラムのソースファイル, e. ソースプログラムに沿って解説を加えた補助教材, g. オプションで基礎的な文法を習得するための課題",,a. 対面のみ,対面とオンデマンドのハイブリッドが理想的です。
5/24/2023 14:27:45,3,3,"b. 授業でスライドを解説した動画, c. 授業で実演したプログラミングの動画, d. 授業で作成したプログラムのソースファイル, e. ソースプログラムに沿って解説を加えた補助教材",,d. オンデマンド[GoogleDriveで動画配布],
5/24/2023 14:27:46,3,2,"b. 授業でスライドを解説した動画, e. ソースプログラムに沿って解説を加えた補助教材",,a. 対面のみ,
5/24/2023 14:27:57,5,1,"a. 授業で使用したスライドのPDF, b. 授業でスライドを解説した動画, c. 授業で実演したプログラミングの動画, d. 授業で作成したプログラムのソースファイル, g. オプションで基礎的な文法を習得するための課題",,b. 対面とリアルタイムオンライン[Zoom]のハイブリッド,
5/24/2023 14:28:06,3,3,"b. 授業でスライドを解説した動画, c. 授業で実演したプログラミングの動画",,b. 対面とリアルタイムオンライン[Zoom]のハイブリッド,
5/24/2023 14:28:23,3,2,"a. 授業で使用したスライドのPDF, b. 授業でスライドを解説した動画, c. 授業で実演したプログラミングの動画, d. 授業で作成したプログラムのソースファイル, e. ソースプログラムに沿って解説を加えた補助教材",,d. オンデマンド[GoogleDriveで動画配布],
5/24/2023 14:28:26,2,1,"a. 授業で使用したスライドのPDF, b. 授業でスライドを解説した動画, c. 授業で実演したプログラミングの動画, e. ソースプログラムに沿って解説を加えた補助教材",,d. オンデマンド[GoogleDriveで動画配布],
5/24/2023 14:28:45,3,3,f. オプションで難易度の高い課題,,a. 対面のみ,
5/24/2023 14:28:57,3,1,"b. 授業でスライドを解説した動画, c. 授業で実演したプログラミングの動画, d. 授業で作成したプログラムのソースファイル, e. ソースプログラムに沿って解説を加えた補助教材",,d. オンデマンド[GoogleDriveで動画配布],
5/24/2023 14:29:38,3,4,"a. 授業で使用したスライドのPDF, c. 授業で実演したプログラミングの動画",,d. オンデマンド[GoogleDriveで動画配布],
5/24/2023 14:34:49,3,3,"c. 授業で実演したプログラミングの動画, d. 授業で作成したプログラムのソースファイル, g. オプションで基礎的な文法を習得するための課題",,d. オンデマンド[GoogleDriveで動画配布],