タイムスタンプ,進み具合はどうですか？,難易度はどうですか？,この授業に対する期待は？,質問や何かリクエストがあれば自由にお書き下さい。
5/1/2024 14:20:48,3,3,5,
5/1/2024 14:22:59,3,3,7,
5/1/2024 14:23:43,3,4,6,一般的に広く知られているPythonの参考書について紹介してほしい。とても数が多くて何がいいかわからずに困っている。
5/1/2024 14:26:48,4,2,6,
5/1/2024 14:26:53,3,2,6,
5/1/2024 14:27:38,3,5,6,
5/1/2024 14:29:19,3,3,6,
5/1/2024 14:32:33,3,3,6,
5/1/2024 14:36:13,3,3,7,
5/1/2024 14:36:21,3,4,7,2年生の履修者の中にもコーディングが得意な人が何人かいると思うので，より難易度の高い加点課題があると良いと思う．
5/1/2024 14:39:28,3,2,6,
5/1/2024 14:44:49,4,2,6,
5/1/2024 15:27:57,3,2,5,
5/1/2024 15:29:07,3,3,6,
5/1/2024 16:02:44,4,2,7,
5/1/2024 16:40:30,4,1,6,
5/1/2024 19:26:33,3,3,3,
5/2/2024 10:13:34,3,4,2,
5/2/2024 10:36:17,3,2,6,
5/2/2024 10:45:35,4,2,6,少し難しく感じるので、課題の提出期限を延ばしてほしいです。
5/2/2024 12:34:31,3,3,6,
5/2/2024 12:44:37,3,5,4,